00000007|Prisoner|1|20|25|15|20|20|15|20|15|15|15|15|20|15|15|15|15|15|15
00013255|Addvar|6|27|25|15|24|20|15|20|26|15|22|15|31|15|15|15|15|15|15
0001325C|Aia Arria|6|23|15|18|20|15|20|15|22|15|15|15|28|22|15|20|22|25|20
0001325F|Ahtar|1000|29|26|27|27|20|26|15|15|15|15|15|15|20|15|20|15|15|15
00013260|Angeline Morrard|6|15|15|15|15|15|15|15|22|15|22|31|31|24|25|15|20|20|15
00013261|Beirand|9|32|25|15|32|37|15|20|15|15|21|15|37|15|15|15|15|15|15
00013262|Bjartur|10|25|25|15|20|35|15|20|20|20|20|31|25|15|15|15|15|15|31
00013264|Bolgeir Bearclaw|18|57|37|40|45|20|52|20|15|15|15|15|20|15|15|15|15|15|15
00013265|Bryling|9|37|31|27|32|20|32|20|15|15|15|15|20|15|15|15|15|15|15
00013266|Corpulus Vinius|6|27|15|15|24|15|20|15|26|15|22|15|26|15|15|20|15|25|20
00013267|Safia|2000|40|15|15|20|15|20|25|15|15|46|15|15|35|15|51|15|25|20
00013268|Deeja|1000|34|15|28|15|15|15|33|20|25|40|15|15|27|15|15|15|20|15
00013269|Elenwen|30|57|15|15|15|15|57|15|15|15|15|15|15|20|20|83|89|41|20
0001326A|Elisif the Fair|10|27|25|23|20|31|15|28|15|15|23|26|28|15|15|15|15|15|26
0001326F|Endarie|6|15|15|15|15|22|15|19|22|15|26|15|26|20|20|20|25|20|20
00013271|Erdi|6|24|25|19|20|26|15|24|15|15|19|22|24|15|15|15|15|15|22
00013272|Erikur|7|33|29|24|29|20|28|20|15|15|15|15|20|15|15|15|15|15|15
00013273|Evette San|6|27|25|15|24|20|15|20|26|15|22|15|31|15|15|15|15|15|15
00013274|Falk Firebeard|12|44|33|31|36|20|39|20|15|15|15|15|20|15|15|15|15|15|15
00013275|Fihada|6|25|15|31|20|27|15|15|19|15|22|15|26|20|15|20|15|15|15
00013277|Freir|6|20|25|15|20|26|15|20|15|15|15|21|29|15|21|15|15|25|18
00013278|Fridrika|6|24|25|19|20|26|15|24|15|15|19|22|24|15|15|15|15|15|22
0001327A|Vittoria Vici|4|22|15|17|20|19|20|17|15|15|18|19|18|15|15|20|15|25|24
0001327C|Dervenin|6|17|15|27|17|17|15|20|27|22|25|23|24|18|15|15|15|15|18
0001327D|Geimund|6|5|5|5|5|5|5|5|5|5|5|5|5|5|5|0|0|0|0
0001327E|General Tullius|1200|32|27|27|32|15|32|27|15|15|15|15|15|15|15|20|15|25|20
00013281|Giraud Gemane|4|18|15|18|17|15|15|20|15|15|20|20|26|20|25|15|20|20|15
00013282|Gisli|4|24|25|22|24|20|15|27|15|15|17|15|20|15|15|15|15|15|15
00013283|Greta|4|22|25|17|20|24|15|22|15|15|18|19|23|15|15|15|15|15|19
00013284|Gulum-Ei|1000|28|15|15|15|15|15|27|20|25|39|15|15|33|15|35|15|20|15
00013285|Guthrum|4|24|25|22|24|20|15|27|15|15|17|15|20|15|15|15|15|15|15
00013286|Heimvar|4|24|25|15|24|27|15|20|15|15|17|15|27|15|15|15|15|15|15
00013287|Hjorunn|4|23|28|18|20|24|15|21|15|15|16|19|21|15|15|15|15|15|19
00013288|Horm|4|22|25|17|20|24|15|22|15|15|18|19|23|15|15|15|15|15|19
00013289|Illdi|4|22|25|17|20|20|15|20|19|15|15|15|28|19|15|15|19|15|15
